job_id,title,region_province,region_city,region_code,address_full,organization,organization_detail,employment_type,employment_type_name,min_age,max_age,recruitment_count,start_date,end_date,application_start,application_end,deadline_status,application_method,application_method_code,requirements,detail_content,contact_person,contact_number,homepage,source_id,wanted_auth_no,text_representation
K161132510230007,계약직 상담원 공개채용 공고,전북,전주시,130120,54907 전북특별자치도 전주시 덕진구 건지로 20 (금암동),전북해바라기센터,전북해바라기센터,CM0105,CM0105,60,0,1,2025-10-23,2025-11-05,2025-10-23,2025-11-05,접수중,방문,CM0804,"['보훈취업지원대상자', '장애인']",,양종철,063-270-9003,,B,K161132510230007,"채용 공고: 계약직 상담원 공개채용 공고
기관명: 전북해바라기센터
근무지역: 전북 전주시
상세주소: 54907 전북특별자치도 전주시 덕진구 건지로 20 (금암동)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-23 ~ 2025-11-05
접수상태: 접수중
접수방법: 방문
우대사항: 보훈취업지원대상자, 장애인
담당자: 양종철 | 연락처: 063-270-9003"
K120612510230018,[금융결제원 분당센터] 시설(전기)기사 모집,경기,성남시,10070,"08298 서울특별시 구로구 공원로 3, 1층 (구로동, 선경오피스텔1층)",주식회사아스타아이비에스,주식회사아스타아이비에스,CM0105,CM0105,60,0,1,2025-10-23,2025-11-06,2025-10-23,2025-11-06,접수중,방문,CM0804,"['보훈취업지원대상자', '장애인']",,임만규,02-531-3040,,B,K120612510230018,"채용 공고: [금융결제원 분당센터] 시설(전기)기사 모집
기관명: 주식회사아스타아이비에스
근무지역: 경기 성남시
상세주소: 08298 서울특별시 구로구 공원로 3, 1층 (구로동, 선경오피스텔1층)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-23 ~ 2025-11-06
접수상태: 접수중
접수방법: 방문
우대사항: 보훈취업지원대상자, 장애인
담당자: 임만규 | 연락처: 02-531-3040"
KF11052510230001,[상봉태영데시앙아파트] 내부 미화원 채용공고,서울,중랑구,10040,"07591 서울특별시 강서구 공항대로 325, 7층 (등촌동, 에이스빌딩)",주식회사에코그린티엠,주식회사에코그린티엠,CM0103,CM0103,60,0,1,2025-10-23,2025-12-22,2025-10-23,2025-12-22,접수중,방문,CM0804,"['(준)고령자(50세이상)', '장애인']",,백송이,,http://echogreentm.co.kr,B,KF11052510230001,"채용 공고: [상봉태영데시앙아파트] 내부 미화원 채용공고
기관명: 주식회사에코그린티엠
근무지역: 서울 중랑구
상세주소: 07591 서울특별시 강서구 공항대로 325, 7층 (등촌동, 에이스빌딩)
연령: 60세 이상
모집인원: 1명
고용형태: CM0103
접수기간: 2025-10-23 ~ 2025-12-22
접수상태: 접수중
접수방법: 방문
우대사항: (준)고령자(50세이상), 장애인
담당자: 백송이 | 홈페이지: http://echogreentm.co.kr"
KJK5002510230001,하남 감일파크 센트레빌 아파트 외곽 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),경기,하남시,10200,"07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)",엘림에스 유한책임회사,엘림에스 유한책임회사,CM0105,CM0105,60,0,1,2025-10-23,2025-11-06,2025-10-23,2025-11-06,접수중,방문,CM0804,['장애인'],,이윤필,02-6082-5457,http://www.elims.co.kr,B,KJK5002510230001,"채용 공고: 하남 감일파크 센트레빌 아파트 외곽 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대)
기관명: 엘림에스 유한책임회사
근무지역: 경기 하남시
상세주소: 07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-23 ~ 2025-11-06
접수상태: 접수중
접수방법: 방문
우대사항: 장애인
담당자: 이윤필 | 연락처: 02-6082-5457 | 홈페이지: http://www.elims.co.kr"
KJAS002510230010,[잠실 롯데호텔 서울 영업장 식기세척 직원 모집,서울,송파구,10240,04533 서울특별시 중구 을지로 30 (소공동),스마일위드 주식회사,스마일위드 주식회사,CM0105,CM0105,60,0,2,2025-10-23,2025-12-22,2025-10-23,2025-12-22,접수중,방문,CM0804,['장애인'],,김주한,02-779-5437,,B,KJAS002510230010,"채용 공고: [잠실 롯데호텔 서울 영업장 식기세척 직원 모집
기관명: 스마일위드 주식회사
근무지역: 서울 송파구
상세주소: 04533 서울특별시 중구 을지로 30 (소공동)
연령: 60세 이상
모집인원: 2명
고용형태: CM0105
접수기간: 2025-10-23 ~ 2025-12-22
접수상태: 접수중
접수방법: 방문
우대사항: 장애인
담당자: 김주한 | 연락처: 02-779-5437"
KEC0752510230001,**GS건설 아산탕정자이 센트럴시티 건설 현장 주간경비 채용 **,충남,아산시,10150,"06719 서울특별시 서초구 남부순환로 2433-3 (서초동, 거암빌딩 3층)",(주)대덕휴비즈,(주)대덕휴비즈,CM0105,CM0105,60,0,1,2025-10-23,2025-12-22,2025-10-23,2025-12-22,접수중,방문,CM0804,"['(준)고령자(50세이상)', '북한이탈주민', '장애인']",,박지영,02-587-9555,http://www.daiduck.co.kr,B,KEC0752510230001,"채용 공고: **GS건설 아산탕정자이 센트럴시티 건설 현장 주간경비 채용 **
기관명: (주)대덕휴비즈
근무지역: 충남 아산시
상세주소: 06719 서울특별시 서초구 남부순환로 2433-3 (서초동, 거암빌딩 3층)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-23 ~ 2025-12-22
접수상태: 접수중
접수방법: 방문
우대사항: (준)고령자(50세이상), 북한이탈주민, 장애인
담당자: 박지영 | 연락처: 02-587-9555 | 홈페이지: http://www.daiduck.co.kr"
K171252510230033,(주) 대보 정직원 채용공고,충북,음성군,160060,27711 충청북도 음성군 소이면 소이로 313 (현대건설기계내),주식회사대보전기음성지점,주식회사대보전기음성지점,CM0105,CM0105,60,0,3,2025-10-23,2025-12-22,2025-10-23,2025-12-22,접수중,방문,CM0804,"['고용허가제', '북한이탈주민', '운전면허증', '장애인']",,편재식,043-873-9208,,B,K171252510230033,"채용 공고: (주) 대보 정직원 채용공고
기관명: 주식회사대보전기음성지점
근무지역: 충북 음성군
상세주소: 27711 충청북도 음성군 소이면 소이로 313 (현대건설기계내)
연령: 60세 이상
모집인원: 3명
고용형태: CM0105
접수기간: 2025-10-23 ~ 2025-12-22
접수상태: 접수중
접수방법: 방문
우대사항: 고용허가제, 북한이탈주민, 운전면허증, 장애인
담당자: 편재식 | 연락처: 043-873-9208"
KJDG002510230003,갈산대동2차 아파트 미화원 구인,,,110000,"22150 인천광역시 미추홀구 동주길10번길 16, 1층 (주안동)",주식회사 인성종합관리,주식회사 인성종합관리,CM0105,CM0105,60,0,1,2025-10-23,2025-11-06,2025-10-23,2025-11-06,접수중,방문,CM0804,['장애인'],,신규현,,,B,KJDG002510230003,"채용 공고: 갈산대동2차 아파트 미화원 구인
기관명: 주식회사 인성종합관리
상세주소: 22150 인천광역시 미추홀구 동주길10번길 16, 1층 (주안동)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-23 ~ 2025-11-06
접수상태: 접수중
접수방법: 방문
우대사항: 장애인
담당자: 신규현"
KJLJ002510230005,힐데스하임5단지아파트 실내미화원 채용,강원,원주시,30520,"12984 경기도 하남시 안터로 50-29, 102호 (풍산동)",유한책임회사 화이트시스템,유한책임회사 화이트시스템,CM0103,CM0103,60,0,1,2025-10-23,2025-12-22,2025-10-23,2025-12-22,접수중,방문,CM0804,"['(준)고령자(50세이상)', '장애인']",,윤지연,,,B,KJLJ002510230005,"채용 공고: 힐데스하임5단지아파트 실내미화원 채용
기관명: 유한책임회사 화이트시스템
근무지역: 강원 원주시
상세주소: 12984 경기도 하남시 안터로 50-29, 102호 (풍산동)
연령: 60세 이상
모집인원: 1명
고용형태: CM0103
접수기간: 2025-10-23 ~ 2025-12-22
접수상태: 접수중
접수방법: 방문
우대사항: (준)고령자(50세이상), 장애인
담당자: 윤지연"
K151812510220063,(긴급채용)고양시덕양노인종합복지관 경로식당 전담인력(단체급식 조리원) 채용 공고,경기,고양시,30020,"10470 경기도 고양시 덕양구 어울림로 49, 4층 (화정동)",고양시덕양노인종합복지관,고양시덕양노인종합복지관,CM0103,CM0103,60,0,1,2025-10-22,2025-10-30,2025-10-22,2025-10-30,접수중,방문,CM0804,['장애인'],,공상길,031-810-2312,withnoin.org,B,K151812510220063,"채용 공고: (긴급채용)고양시덕양노인종합복지관 경로식당 전담인력(단체급식 조리원) 채용 공고
기관명: 고양시덕양노인종합복지관
근무지역: 경기 고양시
상세주소: 10470 경기도 고양시 덕양구 어울림로 49, 4층 (화정동)
연령: 60세 이상
모집인원: 1명
고용형태: CM0103
접수기간: 2025-10-22 ~ 2025-10-30
접수상태: 접수중
접수방법: 방문
우대사항: 장애인
담당자: 공상길 | 연락처: 031-810-2312 | 홈페이지: withnoin.org"
KJ21022510220004,[다우리] cu편의점 근로지원인 모집,경기,성남시,30420,"16977 경기도 용인시 기흥구 강남로 13, 4층 406-1호 (구갈동, 칼리지포인트)",사회적협동조합다우리,사회적협동조합다우리,CM0105,CM0105,60,0,1,2025-10-22,2025-12-19,2025-10-22,2025-12-19,접수중,방문,CM0804,['장애인 인근거주자 우대'],,공준익,031-293-1778,http://www.kddwsa.net/,B,KJ21022510220004,"채용 공고: [다우리] cu편의점 근로지원인 모집
기관명: 사회적협동조합다우리
근무지역: 경기 성남시
상세주소: 16977 경기도 용인시 기흥구 강남로 13, 4층 406-1호 (구갈동, 칼리지포인트)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-22 ~ 2025-12-19
접수상태: 접수중
접수방법: 방문
우대사항: 장애인 인근거주자 우대
담당자: 공준익 | 연락처: 031-293-1778 | 홈페이지: http://www.kddwsa.net/"
KJ20912510220004,도래울파크뷰 아파트 외곽미화원 모집,경기,고양시,110000,"22150 인천광역시 미추홀구 동주길10번길 16, 1층 (주안동)",주식회사 인성종합관리,주식회사 인성종합관리,CM0105,CM0105,60,0,1,2025-10-22,2025-11-05,2025-10-22,2025-11-05,접수중,방문,CM0804,['장애인'],,신규현,,,B,KJ20912510220004,"채용 공고: 도래울파크뷰 아파트 외곽미화원 모집
기관명: 주식회사 인성종합관리
근무지역: 경기 고양시
상세주소: 22150 인천광역시 미추홀구 동주길10번길 16, 1층 (주안동)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-22 ~ 2025-11-05
접수상태: 접수중
접수방법: 방문
우대사항: 장애인
담당자: 신규현"
KJ21012510220015,하대원성원초원 아파트 미화원 구인(복지카드 우대),경기,성남시,110000,"22150 인천광역시 미추홀구 동주길10번길 16, 1층 (주안동)",주식회사 인성종합관리,주식회사 인성종합관리,CM0105,CM0105,60,0,1,2025-10-22,2025-11-03,2025-10-22,2025-11-03,접수중,방문,CM0804,['장애인'],,신규현,0000-429-5021,,B,KJ21012510220015,"채용 공고: 하대원성원초원 아파트 미화원 구인(복지카드 우대)
기관명: 주식회사 인성종합관리
근무지역: 경기 성남시
상세주소: 22150 인천광역시 미추홀구 동주길10번길 16, 1층 (주안동)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-22 ~ 2025-11-03
접수상태: 접수중
접수방법: 방문
우대사항: 장애인
담당자: 신규현 | 연락처: 0000-429-5021"
KJLJ002510220001,더샵원주센트럴파크2단지아파트 외곽 미화원 채용,강원,원주시,30490,"10878 경기도 파주시 순못길 122-6, 1층 (다율동, 후면상가)",주식회사 이지종합관리,주식회사 이지종합관리,CM0103,CM0103,60,0,1,2025-10-22,2025-12-21,2025-10-22,2025-12-21,접수중,방문,CM0804,['장애인'],,백승훈,031-906-2002,,B,KJLJ002510220001,"채용 공고: 더샵원주센트럴파크2단지아파트 외곽 미화원 채용
기관명: 주식회사 이지종합관리
근무지역: 강원 원주시
상세주소: 10878 경기도 파주시 순못길 122-6, 1층 (다율동, 후면상가)
연령: 60세 이상
모집인원: 1명
고용형태: CM0103
접수기간: 2025-10-22 ~ 2025-12-21
접수상태: 접수중
접수방법: 방문
우대사항: 장애인
담당자: 백승훈 | 연락처: 031-906-2002"
KJDE002510220001,소래포구역 논현푸르지오 더퍼스트 아파트 미화반장 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),인천,남동구,10200,"07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)",엘림에스 유한책임회사,엘림에스 유한책임회사,CM0105,CM0105,60,0,1,2025-10-22,2025-11-05,2025-10-22,2025-11-05,접수중,방문,CM0804,"['고용촉진장려금대상자', '보훈취업지원대상자', '장애인']",,이윤필,02-6082-5457,http://www.elims.co.kr,B,KJDE002510220001,"채용 공고: 소래포구역 논현푸르지오 더퍼스트 아파트 미화반장 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대)
기관명: 엘림에스 유한책임회사
근무지역: 인천 남동구
상세주소: 07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-22 ~ 2025-11-05
접수상태: 접수중
접수방법: 방문
우대사항: 고용촉진장려금대상자, 보훈취업지원대상자, 장애인
담당자: 이윤필 | 연락처: 02-6082-5457 | 홈페이지: http://www.elims.co.kr"
KJK3002510220003,평택고덕LH15단지 아파트 미화원 모집,경기,평택시,10170,"02831 서울특별시 성북구 성북로4길 52, 스카이상가 동관1층 (돈암동, 한신한진아파트)",승인산업주식회사,승인산업주식회사,CM0105,CM0105,60,0,10,2025-10-22,2025-11-21,2025-10-22,2025-11-21,접수중,방문,CM0804,"['(준)고령자(50세이상)', '보훈취업지원대상자', '장애인']",,정병천,031-646-1009,,B,KJK3002510220003,"채용 공고: 평택고덕LH15단지 아파트 미화원 모집
기관명: 승인산업주식회사
근무지역: 경기 평택시
상세주소: 02831 서울특별시 성북구 성북로4길 52, 스카이상가 동관1층 (돈암동, 한신한진아파트)
연령: 60세 이상
모집인원: 10명
고용형태: CM0105
접수기간: 2025-10-22 ~ 2025-11-21
접수상태: 접수중
접수방법: 방문
우대사항: (준)고령자(50세이상), 보훈취업지원대상자, 장애인
담당자: 정병천 | 연락처: 031-646-1009"
KJ20912510220016,[2025 고양시 중장년 일자리 박람회 참여기업]_타다(TADA)  드라이버 모집,서울,강서구,10250,"02119 서울특별시 중랑구 중랑천로12길 10, 편안한이동 (상봉동)",유한회사 편안한이동,유한회사 편안한이동,CM0105,CM0105,60,0,30,2025-10-22,2025-11-21,2025-10-22,2025-11-21,접수중,방문,CM0804,"['(준)고령자(50세이상)', '고용촉진장려금대상자', '보훈취업지원대상자', '운전면허증', '장기복무 제대군인', '장애인 1. 서비스 정신이 투철하신 분\r\n2. 택시 및 운전직 유경험자\r\n3. 외국어능력']",,노현철,02-408-2905,,B,KJ20912510220016,"채용 공고: [2025 고양시 중장년 일자리 박람회 참여기업]_타다(TADA)  드라이버 모집
기관명: 유한회사 편안한이동
근무지역: 서울 강서구
상세주소: 02119 서울특별시 중랑구 중랑천로12길 10, 편안한이동 (상봉동)
연령: 60세 이상
모집인원: 30명
고용형태: CM0105
접수기간: 2025-10-22 ~ 2025-11-21
접수상태: 접수중
접수방법: 방문
우대사항: (준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 운전면허증, 장기복무 제대군인, 장애인 1. 서비스 정신이 투철하신 분
2. 택시 및 운전직 유경험자
3. 외국어능력
담당자: 노현철 | 연락처: 02-408-2905"
KJAT002510220003,[목동12단지] 아파트 경비원 모집,서울,양천구,10070,"08334 서울특별시 구로구 개봉로6길 12-5, 401호 (개봉동, KT개봉지점)",(주)듀델코리아,(주)듀델코리아,CM0105,CM0105,60,0,1,2025-10-22,2025-12-21,2025-10-22,2025-12-21,접수중,방문,CM0804,"['(준)고령자(50세이상)', '장애인']",,정현종,,,B,KJAT002510220003,"채용 공고: [목동12단지] 아파트 경비원 모집
기관명: (주)듀델코리아
근무지역: 서울 양천구
상세주소: 08334 서울특별시 구로구 개봉로6길 12-5, 401호 (개봉동, KT개봉지점)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-22 ~ 2025-12-21
접수상태: 접수중
접수방법: 방문
우대사항: (준)고령자(50세이상), 장애인
담당자: 정현종"
KJMH002510220001,센트럴코아루아파트 실내미화원을 모집합니다.,충북,제천시,30520,"12984 경기도 하남시 안터로 50-29, 102호 (풍산동)",유한책임회사 화이트시스템,유한책임회사 화이트시스템,CM0105,CM0105,60,0,1,2025-10-22,2025-12-21,2025-10-22,2025-12-21,접수중,방문,CM0804,"['(준)고령자(50세이상)', '장애인']",,윤지연,,,B,KJMH002510220001,"채용 공고: 센트럴코아루아파트 실내미화원을 모집합니다.
기관명: 유한책임회사 화이트시스템
근무지역: 충북 제천시
상세주소: 12984 경기도 하남시 안터로 50-29, 102호 (풍산동)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-22 ~ 2025-12-21
접수상태: 접수중
접수방법: 방문
우대사항: (준)고령자(50세이상), 장애인
담당자: 윤지연"
KJAH002510220004,아파트 실내 청소원 모집(고척1동),서울,구로구,10200,07263 서울특별시 영등포구 양산로 90-4 (당산동2가),(주)스카이빌,(주)스카이빌,CM0105,CM0105,60,0,1,2025-10-22,2025-12-21,2025-10-22,2025-12-21,접수중,방문,CM0804,"['(준)고령자(50세이상)', '장애인']",,최한호,02-2636-3104,,B,KJAH002510220004,"채용 공고: 아파트 실내 청소원 모집(고척1동)
기관명: (주)스카이빌
근무지역: 서울 구로구
상세주소: 07263 서울특별시 영등포구 양산로 90-4 (당산동2가)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-22 ~ 2025-12-21
접수상태: 접수중
접수방법: 방문
우대사항: (준)고령자(50세이상), 장애인
담당자: 최한호 | 연락처: 02-2636-3104"
