강좌명,교육시작시간,교육종료시간,요일,정원(명),강사명,주소,교육장소,교육비,이용대상,신청장소,문의 전화,비고
연필그림 1반, 09:20:00, 11:10:00,수요일,20,정*경,부산광역시 금정구 청룡예전로 110 (청룡동),3층 프로그램2실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,"4B연필,5절스케치북,지우개"
연필그림 2반, 09:10:00, 11:00:00,목요일,20,정*경,부산광역시 금정구 청룡예전로 110 (청룡동),3층 프로그램1실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,"4B연필,5절스케치북,지우개"
연필그림 3반, 12:30:00, 14:20:00,수요일,20,정*경,부산광역시 금정구 청룡예전로 110 (청룡동),3층 프로그램2실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,"4B연필,5절스케치북,지우개"
색연필그림, 11:10:00, 13:00:00 ,목요일,20,정*경,부산광역시 금정구 청룡예전로 110 (청룡동),3층 프로그램2실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,"연필, 색연필, 8절스케치북,지우개"
스마트폰 활용 초급, 10:00:00, 11:30:00,수요일,18,권*현,부산광역시 금정구 청룡예전로 110 (청룡동),2층 정보화교실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
스마트폰 활용 중급 1반, 10:00:00, 11:30:00,월요일,18,정*화,부산광역시 금정구 청룡예전로 110 (청룡동),2층 정보화교실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
스마트폰 활용 중급 2반, 13:00:00, 14:30:00,월요일,18,정*화,부산광역시 금정구 청룡예전로 110 (청룡동),2층 정보화교실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
컴퓨터교실, 14:05:00, 15:55:00,목요일,18,석*천,부산광역시 금정구 청룡예전로 110 (청룡동),2층 정보화교실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
소담책방, 09:00:00, 18:00:00,매일,,담당자,부산광역시 금정구 청룡예전로 110 (청룡동),2·3층 휴게실,무료,60세 이상,복지관1층사무실,051-792-7200,
노인의 사회참여 및 장애인 평생학습 활성화를 위한 제과·제빵 프로그램 '두근두근! 베이커리', 14:00:00, 16:00:00,수요일,노인 10명 장애인 10명,담당자,부산광역시 금정구 청룡예전로 110 (청룡동),금정구노인복지관 1층 경로식당,무료,60세 이상,복지관1층사무실,051-792-7200,
노인의 정보격차 해소를 위한디지털 리터러시 프로그램 똑띠 'Go! Go! 똑띠', 14:00:00, 16:00:00,화요일,10,담당자,부산광역시 금정구 청룡예전로 110 (청룡동),3층 프로그램1실,무료,60세 이상,복지관1층사무실,051-792-7200,
지역노인의 건강한 노후생활을 위한 치매예방프로그램 ‘리본:re-born 교실’, 14:00:00, 16:00:00,금요일,10,담당자,부산광역시 금정구 청룡예전로 110 (청룡동),서동평화나눔 쉼터,무료,60세 이상,복지관1층사무실,051-792-7200,
신중년세대의 사회참여활성화를 위한 주민환경동아리 조직 사업 '환경이음-환경으로 신중년공동체를 이음', 10:00:00, 12:00:00,수요일,신중년세대 9명,담당자,부산광역시 금정구 청룡예전로 110 (청룡동),지역사회 일대,무료,60세 이상,복지관1층사무실,051-792-7200,
"금정구 노년세대의 권리형 사회참여활동 ""모이자! 범상치 않은 시민들의 모임, 모범시민""", 14:00:00, 16:00:00,금요일,28,담당자,부산광역시 금정구 청룡예전로 110 (청룡동),금정구 지역사회 일대 및 금정구노인복지관,무료,60세 이상,복지관1층사무실,051-792-7200,
"금정구 서금지역 선배시민 조직활동 ""서금도래""", 10:00:00, 12:00:00,화요일,21,담당자,부산광역시 금정구 청룡예전로 110 (청룡동),다원쉼터 서동평화나눔점 및 서금지역 일대,무료,60세 이상,복지관1층사무실,051-792-7200,
다원네트워크 치매예방프로그램, 13:30:00, 14:30:00,"1,3주 수요일",10,담당자,부산광역시 금정구 청룡예전로 110 (청룡동),다원쉼터 서동평화나눔점,무료,60세 이상,복지관1층사무실,051-792-7200,
"웰다잉을 위한 웰라이프를 추구하는 ""삶의 품격""", 14:00:00, 16:00:00,수요일,15,담당자,부산광역시 금정구 청룡예전로 110 (청룡동),금정구노인복지관 프로그램 1실,무료,60세 이상,복지관1층사무실,051-792-7200,
