jobId,recrtTitle,emplymShp,emplymShpNm,frDd,toDd,workPlc,workPlcNm,oranNm,acptMthd,deadline,stmId,acptMthdCd,age,ageLim,clltPrnnum,detCnts,etcItm,frAcptDd,toAcptDd,plDetAddr,plbizNm,clerk,clerkContt,homepage,stmId_detail,lnkStmId,organYn_detail,wantedAuthNo,wantedTitle,createDy,updDy
KJAT002510270004,목동현대하이페리온아파트 내부 미화원 모집(복지카드소지자 우대),CM0105,CM0105,2025-10-27,2025-11-10,110020,서울 양천구,(주)현대종합관리,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-27,2025-11-10,"21069 인천광역시 계양구 오조산로57번길 15 (계산동, 명동빌딩)",(주)현대종합관리,김철하,,,A,B,N,KJAT002510270004,목동현대하이페리온아파트 내부 미화원 모집(복지카드소지자 우대),,
KJAH002510270011,구일 우성아파트 내부 미화원  채용합니다. (장애인등록증 또는 장애인 복지카드 소지자 우대),CM0105,CM0105,2025-10-27,2025-11-10,010200,서울 구로구,엘림에스 유한책임회사,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-27,2025-11-10,"07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)",엘림에스 유한책임회사,이윤필,02-6082-5457,http://www.elims.co.kr,A,B,N,KJAH002510270011,구일 우성아파트 내부 미화원  채용합니다. (장애인등록증 또는 장애인 복지카드 소지자 우대),,
KJ20912510270022,[신원동] 신원마을 10단지(삼송동일스위트 2차) 경비원 모집,CM0105,CM0105,2025-10-27,2025-11-11,010200,경기 고양시 덕양구,(주)두원에이앤씨,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 장애인",2025-10-27,2025-11-11,"07281 서울특별시 영등포구 선유로9길 10 (문래동6가, 문래 SK V1 center)",(주)두원에이앤씨,박태종,02-865-5025,,A,B,N,KJ20912510270022,[신원동] 신원마을 10단지(삼송동일스위트 2차) 경비원 모집,,
K151232510270040,중산마을8단지 보안직(경비) 모집,CM0105,CM0105,2025-10-27,2025-12-26,030140,경기 고양시 일산동구,(주)태성공사,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-27,2025-12-26,"14557 경기도 부천시 원미구 부천로198번길 18 (춘의동, 춘의테크노파크II)",(주)태성공사,이재구,02-871-8545,www.tsbck.com,A,B,N,K151232510270040,중산마을8단지 보안직(경비) 모집,,
KJAU002510270016,영등포 양평삼성래미안 아파트 외곽 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),CM0105,CM0105,2025-10-27,2025-11-10,010200,서울 영등포구,엘림에스 유한책임회사,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-27,2025-11-10,"07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)",엘림에스 유한책임회사,이윤필,02-6082-5457,http://www.elims.co.kr,A,B,N,KJAU002510270016,영등포 양평삼성래미안 아파트 외곽 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),,
KJAV002510240003,국방부근무지원단 공무직근로자(행정안내원) 채용 공고,CM0105,CM0105,2025-10-24,2025-11-12,010210,서울 용산구,국방부근무지원단,방문,접수중,B,CM0804,60,,1,,"보훈취업지원대상자, 장애인",2025-10-24,2025-11-12,"04382 서울특별시 용산구 한강대로62길 79, 6층 (용산동3가)",국방부근무지원단,정상협,02-748-1123,,A,B,N,KJAV002510240003,국방부근무지원단 공무직근로자(행정안내원) 채용 공고,,
KJND002510240001,한국폴리텍대학 바이오캠퍼스 무기계약직원(대학운영직-조리원) 채용 공고,CM0105,CM0105,2025-10-24,2025-11-02,150040,충남 논산시,한국폴리텍대학바이오캠퍼스,방문,접수중,B,CM0804,60,,1,,"보훈취업지원대상자, 북한이탈주민, 장애인 식품위생법에 따른 유효기간 만료 전 건강진단결과서(보건증) 유효한 자
* 임용예정일(2025.8.18.) 기준 유효하여야 함.",2025-10-24,2025-11-02,32943 충청남도 논산시 강경읍 동안로112번길 48,한국폴리텍대학바이오캠퍼스,정인학,041-746-8888,http://bio.kopo.ac.kr/,A,B,N,KJND002510240001,한국폴리텍대학 바이오캠퍼스 무기계약직원(대학운영직-조리원) 채용 공고,,
KJAV002510240005,국방부근무지원단 공무직근로자(조리원) 채용 공고,CM0105,CM0105,2025-10-24,2025-11-12,010210,서울 용산구,국방부근무지원단,방문,접수중,B,CM0804,60,,1,,"보훈취업지원대상자, 장애인",2025-10-24,2025-11-12,"04382 서울특별시 용산구 한강대로62길 79, 6층 (용산동3가)",국방부근무지원단,정상협,02-748-1123,,A,B,N,KJAV002510240005,국방부근무지원단 공무직근로자(조리원) 채용 공고,,
KJAM002510240010,흑석동 우리유앤미 아파트 미화원 채용합니다.(장애인등록증 또는 장애인 복지카드 소지자 우대),CM0105,CM0105,2025-10-24,2025-11-09,010200,서울 동작구,엘림에스 유한책임회사,방문,접수중,B,CM0804,60,,1,,"고용촉진장려금대상자, 보훈취업지원대상자, 장애인",2025-10-24,2025-11-09,"07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)",엘림에스 유한책임회사,이윤필,02-6082-5457,http://www.elims.co.kr,A,B,N,KJAM002510240010,흑석동 우리유앤미 아파트 미화원 채용합니다.(장애인등록증 또는 장애인 복지카드 소지자 우대),,
KJ20842510240003,[한빛5단지] 아파트 외곽청소 직원 모집,CM0105,CM0105,2025-10-24,2025-12-23,010080,,(주)한강티에스,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-24,2025-12-23,"08595 서울특별시 금천구 범안로 1130, 1호실 (가산동, 디지털엠파이어빌딩)",(주)한강티에스,김정수,,,A,B,N,KJ20842510240003,[한빛5단지] 아파트 외곽청소 직원 모집,,
KJAC002510240005,강일리버파크9단지아파트 내부 청소원 모집,CM0105,CM0105,2025-10-24,2025-12-23,010020,서울 강동구,(주)융성종합관리,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 장애인",2025-10-24,2025-12-23,"05246 서울특별시 강동구 올림픽로 683, 명화빌딩 206호",(주)융성종합관리,문천식,,,A,B,N,KJAC002510240005,강일리버파크9단지아파트 내부 청소원 모집,,
KEC0252510240001,(채용대행)운정센트레빌 내부미화원 모집,CM0105,CM0105,2025-10-24,2025-12-23,010200,경기 파주시,(주)두원에이앤씨,방문,접수중,B,CM0804,60,,2,,"(준)고령자(50세이상), 장애인",2025-10-24,2025-12-23,"07281 서울특별시 영등포구 선유로9길 10 (문래동6가, 문래 SK V1 center)",(주)두원에이앤씨,박태종,031-8071-4247,,A,B,N,KEC0252510240001,(채용대행)운정센트레빌 내부미화원 모집,,
K150122510240008,온라인몰 주문접수 및 택배물품 포장,CM0105,CM0105,2025-10-24,2025-11-07,110070,인천 서구,주식회사 이온폴리스(IONPOLIS CO. LTD.),방문,접수중,B,CM0804,60,,1,,"고용촉진장려금대상자, 장애인",2025-10-24,2025-11-07,"22837 인천광역시 서구 가정로77번길 28, 3층 (가좌동)",주식회사 이온폴리스(IONPOLIS CO. LTD.),황규진,070-5101-2455,http://www.ionpolis.com,A,B,N,K150122510240008,온라인몰 주문접수 및 택배물품 포장,,
K161132510240036,건설 경험을 바탕으로 성장하고자 하는 능동적인 CAD 숙련자를 찾습니다.,CM0105,CM0105,2025-10-24,2025-12-23,130120,전북 전주시 덕진구,주식회사 이소건설,방문,접수중,B,CM0804,60,,1,,"고용촉진장려금대상자, 운전면허증, 장애인, 차량소지자 - 건설 현장 경험
- CAD(기술) 숙련도
- 팀워크 및 의사소통 능력
- 3개월 수습 기간 가능",2025-10-24,2025-12-23,"54860 전북특별자치도 전주시 덕진구 만성중앙로 25, 미네르바B/D 203호 (만성동)",주식회사 이소건설,이석재,063-270-9002,,A,B,N,K161132510240036,건설 경험을 바탕으로 성장하고자 하는 능동적인 CAD 숙련자를 찾습니다.,,
KJK6002510230013,하림그룹 (주)한강식품 물류팀 생산직 모집(3톤미만 지게차면허 필수),CM0105,CM0105,2025-10-23,2025-12-22,030530,경기 화성시,(주)한강식품,방문,접수중,B,CM0804,60,,1,,"북한이탈주민, 장애인",2025-10-23,2025-12-22,"18365 경기도 화성시 만년로969번길 17, (주)한강식품 (안녕동)",(주)한강식품,박길연,031-8058-9806,hangangfood.com,A,B,N,KJK6002510230013,하림그룹 (주)한강식품 물류팀 생산직 모집(3톤미만 지게차면허 필수),,
K161132510230007,계약직 상담원 공개채용 공고,CM0105,CM0105,2025-10-23,2025-11-05,130120,전북 전주시 덕진구,전북해바라기센터,방문,접수중,B,CM0804,60,,1,,"보훈취업지원대상자, 장애인",2025-10-23,2025-11-05,54907 전북특별자치도 전주시 덕진구 건지로 20 (금암동),전북해바라기센터,양종철,063-270-9003,,A,B,N,K161132510230007,계약직 상담원 공개채용 공고,,
K120612510230018,[금융결제원 분당센터] 시설(전기)기사 모집,CM0105,CM0105,2025-10-23,2025-11-06,010070,경기 성남시 분당구,주식회사아스타아이비에스,방문,접수중,B,CM0804,60,,1,,"보훈취업지원대상자, 장애인",2025-10-23,2025-11-06,"08298 서울특별시 구로구 공원로 3, 1층 (구로동, 선경오피스텔1층)",주식회사아스타아이비에스,임만규,02-531-3040,,A,B,N,K120612510230018,[금융결제원 분당센터] 시설(전기)기사 모집,,
KF11052510230001,[상봉태영데시앙아파트] 내부 미화원 채용공고,CM0103,CM0103,2025-10-23,2025-12-22,010040,서울 중랑구,주식회사에코그린티엠,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 장애인",2025-10-23,2025-12-22,"07591 서울특별시 강서구 공항대로 325, 7층 (등촌동, 에이스빌딩)",주식회사에코그린티엠,백송이,,http://echogreentm.co.kr,A,B,N,KF11052510230001,[상봉태영데시앙아파트] 내부 미화원 채용공고,,
KJK5002510230001,하남 감일파크 센트레빌 아파트 외곽 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),CM0105,CM0105,2025-10-23,2025-11-06,010200,경기 하남시,엘림에스 유한책임회사,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-23,2025-11-06,"07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)",엘림에스 유한책임회사,이윤필,02-6082-5457,http://www.elims.co.kr,A,B,N,KJK5002510230001,하남 감일파크 센트레빌 아파트 외곽 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),,
KJAS002510230010,[잠실 롯데호텔 서울 영업장 식기세척 직원 모집,CM0105,CM0105,2025-10-23,2025-12-22,010240,서울 송파구,스마일위드 주식회사,방문,접수중,B,CM0804,60,,2,,장애인,2025-10-23,2025-12-22,04533 서울특별시 중구 을지로 30 (소공동),스마일위드 주식회사,김주한,02-779-5437,,A,B,N,KJAS002510230010,[잠실 롯데호텔 서울 영업장 식기세척 직원 모집,,
KEC0752510230001,**GS건설 아산탕정자이 센트럴시티 건설 현장 주간경비 채용 **,CM0105,CM0105,2025-10-23,2025-12-22,010150,충남 아산시,(주)대덕휴비즈,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 북한이탈주민, 장애인",2025-10-23,2025-12-22,"06719 서울특별시 서초구 남부순환로 2433-3 (서초동, 거암빌딩 3층)",(주)대덕휴비즈,박지영,02-587-9555,http://www.daiduck.co.kr,A,B,N,KEC0752510230001,**GS건설 아산탕정자이 센트럴시티 건설 현장 주간경비 채용 **,,
K171252510230033,(주) 대보 정직원 채용공고,CM0105,CM0105,2025-10-23,2025-12-22,160060,충북 음성군,주식회사대보전기음성지점,방문,접수중,B,CM0804,60,,3,,"고용허가제, 북한이탈주민, 운전면허증, 장애인",2025-10-23,2025-12-22,27711 충청북도 음성군 소이면 소이로 313 (현대건설기계내),주식회사대보전기음성지점,편재식,043-873-9208,,A,B,N,K171252510230033,(주) 대보 정직원 채용공고,,
KJDG002510230003,갈산대동2차 아파트 미화원 구인,CM0105,CM0105,2025-10-23,2025-11-06,110000,,주식회사 인성종합관리,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-23,2025-11-06,"22150 인천광역시 미추홀구 동주길10번길 16, 1층 (주안동)",주식회사 인성종합관리,신규현,,,A,B,N,KJDG002510230003,갈산대동2차 아파트 미화원 구인,,
KJLJ002510230005,힐데스하임5단지아파트 실내미화원 채용,CM0103,CM0103,2025-10-23,2025-12-22,030520,강원 원주시,유한책임회사 화이트시스템,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 장애인",2025-10-23,2025-12-22,"12984 경기도 하남시 안터로 50-29, 102호 (풍산동)",유한책임회사 화이트시스템,윤지연,,,A,B,N,KJLJ002510230005,힐데스하임5단지아파트 실내미화원 채용,,
K151812510220063,(긴급채용)고양시덕양노인종합복지관 경로식당 전담인력(단체급식 조리원) 채용 공고,CM0103,CM0103,2025-10-22,2025-10-30,030020,경기 고양시 덕양구,고양시덕양노인종합복지관,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-22,2025-10-30,"10470 경기도 고양시 덕양구 어울림로 49, 4층 (화정동)",고양시덕양노인종합복지관,공상길,031-810-2312,withnoin.org,A,B,N,K151812510220063,(긴급채용)고양시덕양노인종합복지관 경로식당 전담인력(단체급식 조리원) 채용 공고,,
KJ21022510220004,[다우리] cu편의점 근로지원인 모집,CM0105,CM0105,2025-10-22,2025-12-19,030420,경기 성남시 수정구,사회적협동조합다우리,방문,접수중,B,CM0804,60,,1,,장애인 인근거주자 우대,2025-10-22,2025-12-19,"16977 경기도 용인시 기흥구 강남로 13, 4층 406-1호 (구갈동, 칼리지포인트)",사회적협동조합다우리,공준익,031-293-1778,http://www.kddwsa.net/,A,B,N,KJ21022510220004,[다우리] cu편의점 근로지원인 모집,,
KJ20912510220004,도래울파크뷰 아파트 외곽미화원 모집,CM0105,CM0105,2025-10-22,2025-11-05,110000,경기 고양시 덕양구,주식회사 인성종합관리,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-22,2025-11-05,"22150 인천광역시 미추홀구 동주길10번길 16, 1층 (주안동)",주식회사 인성종합관리,신규현,,,A,B,N,KJ20912510220004,도래울파크뷰 아파트 외곽미화원 모집,,
KJ21012510220015,하대원성원초원 아파트 미화원 구인(복지카드 우대),CM0105,CM0105,2025-10-22,2025-11-03,110000,경기 성남시 중원구,주식회사 인성종합관리,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-22,2025-11-03,"22150 인천광역시 미추홀구 동주길10번길 16, 1층 (주안동)",주식회사 인성종합관리,신규현,0000-429-5021,,A,B,N,KJ21012510220015,하대원성원초원 아파트 미화원 구인(복지카드 우대),,
KJLJ002510220001,더샵원주센트럴파크2단지아파트 외곽 미화원 채용,CM0103,CM0103,2025-10-22,2025-12-21,030490,강원 원주시,주식회사 이지종합관리,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-22,2025-12-21,"10878 경기도 파주시 순못길 122-6, 1층 (다율동, 후면상가)",주식회사 이지종합관리,백승훈,031-906-2002,,A,B,N,KJLJ002510220001,더샵원주센트럴파크2단지아파트 외곽 미화원 채용,,
KJDE002510220001,소래포구역 논현푸르지오 더퍼스트 아파트 미화반장 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),CM0105,CM0105,2025-10-22,2025-11-05,010200,인천 남동구,엘림에스 유한책임회사,방문,접수중,B,CM0804,60,,1,,"고용촉진장려금대상자, 보훈취업지원대상자, 장애인",2025-10-22,2025-11-05,"07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)",엘림에스 유한책임회사,이윤필,02-6082-5457,http://www.elims.co.kr,A,B,N,KJDE002510220001,소래포구역 논현푸르지오 더퍼스트 아파트 미화반장 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),,
KJK3002510220003,평택고덕LH15단지 아파트 미화원 모집,CM0105,CM0105,2025-10-22,2025-11-21,010170,,승인산업주식회사,방문,접수중,B,CM0804,60,,10,,"(준)고령자(50세이상), 보훈취업지원대상자, 장애인",2025-10-22,2025-11-21,"02831 서울특별시 성북구 성북로4길 52, 스카이상가 동관1층 (돈암동, 한신한진아파트)",승인산업주식회사,정병천,031-646-1009,,A,B,N,KJK3002510220003,평택고덕LH15단지 아파트 미화원 모집,,
KJ20912510220016,[2025 고양시 중장년 일자리 박람회 참여기업]_타다(TADA)  드라이버 모집,CM0105,CM0105,2025-10-22,2025-11-21,010250,서울 강서구,유한회사 편안한이동,방문,접수중,B,CM0804,60,,30,,"(준)고령자(50세이상), 고용촉진장려금대상자, 보훈취업지원대상자, 운전면허증, 장기복무 제대군인, 장애인 1. 서비스 정신이 투철하신 분
2. 택시 및 운전직 유경험자
3. 외국어능력",2025-10-22,2025-11-21,"02119 서울특별시 중랑구 중랑천로12길 10, 편안한이동 (상봉동)",유한회사 편안한이동,노현철,02-408-2905,,A,B,N,KJ20912510220016,[2025 고양시 중장년 일자리 박람회 참여기업]_타다(TADA)  드라이버 모집,,
KJAT002510220003,[목동12단지] 아파트 경비원 모집,CM0105,CM0105,2025-10-22,2025-12-21,010070,서울 양천구,(주)듀델코리아,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 장애인",2025-10-22,2025-12-21,"08334 서울특별시 구로구 개봉로6길 12-5, 401호 (개봉동, KT개봉지점)",(주)듀델코리아,정현종,,,A,B,N,KJAT002510220003,[목동12단지] 아파트 경비원 모집,,
KJMH002510220001,센트럴코아루아파트 실내미화원을 모집합니다.,CM0105,CM0105,2025-10-22,2025-12-21,030520,충북 제천시,유한책임회사 화이트시스템,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 장애인",2025-10-22,2025-12-21,"12984 경기도 하남시 안터로 50-29, 102호 (풍산동)",유한책임회사 화이트시스템,윤지연,,,A,B,N,KJMH002510220001,센트럴코아루아파트 실내미화원을 모집합니다.,,
KJAH002510220004,아파트 실내 청소원 모집(고척1동),CM0105,CM0105,2025-10-22,2025-12-21,010200,서울 구로구,(주)스카이빌,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 장애인",2025-10-22,2025-12-21,07263 서울특별시 영등포구 양산로 90-4 (당산동2가),(주)스카이빌,최한호,02-2636-3104,,A,B,N,KJAH002510220004,아파트 실내 청소원 모집(고척1동),,
KJ22212510220003,신동아베르디2차 경비원 채용합니다,CM0105,CM0105,2025-10-22,2025-11-05,050230,경북 포항시 북구,주식회사영일에이치오엠,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-22,2025-11-05,"37583 경상북도 포항시 북구 장량로18번길 39-1, 2층 (장성동)",주식회사영일에이치오엠,차창섭,054-727-2026,,A,B,N,KJ22212510220003,신동아베르디2차 경비원 채용합니다,,
KJKJ002510220013,[진접읍] 장현신우아파트 실내 미화원 구인,CM0103,CM0103,2025-10-22,2025-12-21,010040,경기 남양주시,주식회사에코그린티엠,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-22,2025-12-21,"07591 서울특별시 강서구 공항대로 325, 7층 (등촌동, 에이스빌딩)",주식회사에코그린티엠,백송이,,http://echogreentm.co.kr,A,B,N,KJKJ002510220013,[진접읍] 장현신우아파트 실내 미화원 구인,,
KJ21022510220013,아파트 실내미화원 모집,CM0103,CM0103,2025-10-22,2025-12-21,030530,경기 화성시,그린코리아주식회사,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 장애인",2025-10-22,2025-12-21,18340 경기도 화성시 배양길 53-6 (배양동),그린코리아주식회사,유용섭,,,A,B,N,KJ21022510220013,아파트 실내미화원 모집,,
KJDC002510220002,[효성동] 아파트 내부 미화원 모집,CM0105,CM0105,2025-10-22,2025-12-21,110040,,주식회사 대산시스템,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 장애인",2025-10-22,2025-12-21,"21540 인천광역시 남동구 하촌로 26, . (만수동, 거신빌딩６０５호)",주식회사 대산시스템,장홍미,,,A,B,N,KJDC002510220002,[효성동] 아파트 내부 미화원 모집,,
KJCD002510220001,대구 설화명곡역 성화한빛타운 아파트 경비원 채용,CM0105,CM0105,2025-10-22,2025-11-05,010200,,엘림에스 유한책임회사,방문,접수중,B,CM0804,60,,1,,"고용촉진장려금대상자, 보훈취업지원대상자, 장애인",2025-10-22,2025-11-05,"07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)",엘림에스 유한책임회사,이윤필,02-6082-5457,http://www.elims.co.kr,A,B,N,KJCD002510220001,대구 설화명곡역 성화한빛타운 아파트 경비원 채용,,
KJDK002510210003,영종하늘도시 KCC스위첸아파트 외곽 미화원 구인,CM0105,CM0105,2025-10-21,2025-12-20,010040,인천 중구,주식회사에코그린티엠,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-21,2025-12-20,"07591 서울특별시 강서구 공항대로 325, 7층 (등촌동, 에이스빌딩)",주식회사에코그린티엠,백송이,,http://echogreentm.co.kr,A,B,N,KJDK002510210003,영종하늘도시 KCC스위첸아파트 외곽 미화원 구인,,
K130232510210008,사회복지사 모집(재가 방문요양),CM0105,CM0105,2025-10-21,2025-11-19,090080,,한마음재가노인복지센터,방문,접수중,B,CM0804,60,,1,,"고용촉진장려금대상자, 운전면허증, 장애인, 차량소지자 운전면허 필수 
개인별 수시 면접
메일접수(이력서)",2025-10-21,2025-11-19,46624 부산광역시 북구 시랑로131번길 42 (구포동),한마음재가노인복지센터,이기현,051-327-3958,,A,B,N,K130232510210008,사회복지사 모집(재가 방문요양),,
KJKO002510210001,기전반장 모집,CM0105,CM0105,2025-10-21,2025-12-20,030290,,송운마을건영2차아파트입주자대표회의,방문,접수중,B,CM0804,60,,2,,"(준)고령자(50세이상), 고용촉진장려금대상자, 장애인",2025-10-21,2025-12-20,15028 경기도 시흥시 옥구천동로 399 (정왕동),송운마을건영2차아파트입주자대표회의,박민철,031-499-7776,,A,B,N,KJKO002510210001,기전반장 모집,,
K161232510210013,아파트 경비원 모집,CM0105,CM0105,2025-10-21,2025-11-09,130090,전북 익산시,(주)서영주택관리,방문,접수중,B,CM0804,60,,1,,"고용촉진장려금대상자, 장애인",2025-10-21,2025-11-09,"54555 전북특별자치도 익산시 무왕로25길 21 (부송동, 예린빌딩)",(주)서영주택관리,이창곤,063-843-2412,http://www.seoyoung.co.kr,A,B,N,K161232510210013,아파트 경비원 모집,,
KJ20912510210027,[행신동] 햇빛마을18-1단지 아파트 미화원 구인,CM0105,CM0105,2025-10-21,2025-11-04,110000,경기 고양시 덕양구,주식회사 인성종합관리,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-21,2025-11-04,"22150 인천광역시 미추홀구 동주길10번길 16, 1층 (주안동)",주식회사 인성종합관리,신규현,,,A,B,N,KJ20912510210027,[행신동] 햇빛마을18-1단지 아파트 미화원 구인,,
